(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
    1 | 2026-03-07 15:16:51 |   c1 |    0.0 |   59.1 |   195.0 |        0 |   67.1 |    96.0
    1 | 2026-03-07 15:16:52 |   c2 |   71.1 |   64.5 |   193.4 |        0 |   29.5 |    20.0
    1 | 2026-03-07 15:16:53 |   c3 |   73.7 |   46.7 |   151.7 |        0 |   22.8 |    28.9
    2 | 2026-03-07 15:16:54 |   c1 |   54.5 |   63.3 |   208.8 |  3977031 |   65.0 |    25.9
    2 | 2026-03-07 15:16:55 |   c2 |   63.9 |   44.0 |   136.0 | -17357778 |   29.5 |   158.0
    2 | 2026-03-07 15:16:56 |   c3 |   70.2 |   47.8 |   155.0 |   969027 |   22.8 |    12.2
    3 | 2026-03-07 15:16:57 |   c1 |   50.3 |   34.5 |   128.3 | -23157743 |   63.0 |    22.6
    3 | 2026-03-07 15:16:59 |   c2 |   82.5 |   44.9 |   139.0 |   820464 |   29.4 |    16.1
    3 | 2026-03-07 15:16:59 |   c3 |   72.4 |   48.6 |   157.8 |   848225 |   22.9 |    18.8
    4 | 2026-03-07 15:17:01 |   c1 |   55.9 |   38.4 |   142.6 |  3714228 |   60.9 |    18.3
    4 | 2026-03-07 15:17:03 |   c2 |   60.5 |   46.1 |   142.7 |   922264 |   29.3 |    19.2
    4 | 2026-03-07 15:17:04 |   c3 |   72.3 |   49.5 |   160.6 |   685563 |   22.8 |    15.9
    5 | 2026-03-07 15:17:05 |   c1 |   51.2 |   41.7 |   154.9 |  3408004 |   59.3 |    16.3
    5 | 2026-03-07 15:17:06 |   c2 |   62.2 |   47.4 |   146.6 |  1201997 |   29.2 |    24.8
    5 | 2026-03-07 15:17:07 |   c3 |   66.3 |   50.2 |   162.9 |   719596 |   22.7 |    18.4
    6 | 2026-03-07 15:17:08 |   c1 |   52.4 |   44.0 |   163.5 |  2671237 |   57.6 |    17.5
    6 | 2026-03-07 15:17:10 |   c2 |   59.0 |   48.4 |   149.7 |   834554 |   29.1 |    15.6
    6 | 2026-03-07 15:17:10 |   c3 |   64.0 |   51.3 |   166.4 |   948561 |   22.6 |    24.7
    7 | 2026-03-07 15:17:12 |   c1 |   45.1 |   46.9 |   174.4 |  3091447 |   55.9 |    25.7
    7 | 2026-03-07 15:17:13 |   c2 |   68.7 |   49.1 |   151.9 |   763351 |   28.9 |    26.0
    7 | 2026-03-07 15:17:13 |   c3 |   70.9 |   51.8 |   168.2 |   612575 |   22.5 |    15.3
    8 | 2026-03-07 15:17:15 |   c1 |   43.4 |   49.1 |   182.4 |  2666607 |   54.7 |    16.8
    8 | 2026-03-07 15:17:16 |   c2 |   65.6 |   50.0 |   154.7 |   906107 |   28.8 |    14.6
    8 | 2026-03-07 15:17:17 |   c3 |   52.0 |   52.9 |   171.7 |   932761 |   22.4 |    14.6
    9 | 2026-03-07 15:17:18 |   c1 |   46.0 |   51.4 |   191.1 |  2374302 |   53.0 |    30.0
    9 | 2026-03-07 15:17:20 |   c2 |   58.6 |   51.0 |   157.8 |   781192 |   28.6 |    15.7
    9 | 2026-03-07 15:17:21 |   c3 |   49.5 |   53.8 |   174.6 |   684264 |   22.3 |    16.8
   10 | 2026-03-07 15:17:23 |   c1 |   50.9 |   55.2 |   205.0 |  3294457 |   51.7 |    18.1
   10 | 2026-03-07 15:17:24 |   c2 |   65.1 |   51.9 |   160.5 |   674170 |   28.5 |    24.3
   10 | 2026-03-07 15:17:24 |   c3 |   64.6 |   54.4 |   176.6 |   652107 |   22.2 |    24.8
   11 | 2026-03-07 15:17:26 |   c1 |   46.3 |   38.0 |   125.1 | -25265585 |   50.7 |    15.1
   11 | 2026-03-07 15:17:26 |   c2 |   72.2 |   52.6 |   162.6 |   721914 |   28.3 |    13.9
   11 | 2026-03-07 15:17:27 |   c3 |   64.3 |   55.2 |   179.1 |   858335 |   22.1 |    17.4
   12 | 2026-03-07 15:17:29 |   c1 |   47.9 |   40.8 |   134.0 |  2934204 |   49.7 |    26.3
   12 | 2026-03-07 15:17:30 |   c2 |   69.7 |   53.4 |   165.0 |   794511 |   28.2 |    18.8
   12 | 2026-03-07 15:17:30 |   c3 |   65.0 |   56.0 |   181.8 |   882548 |   22.0 |    12.0
   13 | 2026-03-07 15:17:32 |   c1 |   51.7 |   43.5 |   143.0 |  2981263 |   48.8 |    15.8
   13 | 2026-03-07 15:17:33 |   c2 |   70.0 |   54.0 |   167.0 |   653411 |   28.0 |    17.6
   13 | 2026-03-07 15:17:33 |   c3 |   71.3 |   56.8 |   184.4 |   858593 |   21.9 |    12.7
   14 | 2026-03-07 15:17:35 |   c1 |   44.1 |   46.4 |   152.5 |  3306578 |   48.0 |    21.3
   14 | 2026-03-07 15:17:35 |   c2 |   68.8 |   54.7 |   169.3 |   792586 |   27.9 |    12.1
   14 | 2026-03-07 15:17:36 |   c3 |   62.1 |   57.5 |   186.5 |   726404 |   21.9 |    10.3
   15 | 2026-03-07 15:17:38 |   c1 |   48.7 |   48.8 |   160.3 |  2642593 |   47.2 |    16.1
   15 | 2026-03-07 15:17:38 |   c2 |   67.6 |   55.4 |   171.2 |   667802 |   27.8 |    20.1
   15 | 2026-03-07 15:17:39 |   c3 |   66.3 |   58.0 |   188.1 |   543242 |   21.8 |    20.7
   16 | 2026-03-07 15:17:41 |   c1 |   52.3 |   55.2 |   181.4 |  6939163 |   46.5 |    40.3
   16 | 2026-03-07 15:17:41 |   c2 |   65.6 |   56.1 |   173.5 |   715880 |   27.7 |    22.6
   16 | 2026-03-07 15:17:42 |   c3 |   73.0 |   58.8 |   190.9 |   902718 |   21.7 |    16.9
   17 | 2026-03-07 15:17:44 |   c1 |   51.8 |   45.0 |   163.9 | -5859200 |   46.2 |    23.3
   17 | 2026-03-07 15:17:45 |   c2 |   66.2 |   56.8 |   175.6 |   699165 |   27.6 |    16.4
   17 | 2026-03-07 15:17:45 |   c3 |   70.4 |   59.4 |   192.9 |   666427 |   21.6 |    11.8
   18 | 2026-03-07 15:17:47 |   c1 |   50.8 |   56.6 |   205.9 | 13311553 |   45.9 |    12.1
   18 | 2026-03-07 15:17:48 |   c2 |   70.1 |   57.4 |   177.4 |   593663 |   27.4 |    18.3
   18 | 2026-03-07 15:17:48 |   c3 |   70.2 |   60.2 |   195.2 |   765586 |   21.5 |    24.0
   19 | 2026-03-07 15:17:50 |   c1 |   57.7 |   62.6 |   227.5 |  6957621 |   45.8 |    18.3
   19 | 2026-03-07 15:17:51 |   c2 |   73.5 |   58.2 |   180.0 |   831695 |   27.3 |    12.9
   19 | 2026-03-07 15:17:52 |   c3 |   69.7 |   60.9 |   197.7 |   748946 |   21.5 |    15.2
   20 | 2026-03-07 15:17:53 |   c1 |   60.2 |   74.5 |   270.9 | 12984502 |   46.0 |    26.1
   20 | 2026-03-07 15:17:54 |   c2 |   68.5 |   59.1 |   182.9 |   794577 |   27.1 |    26.8
   20 | 2026-03-07 15:17:56 |   c3 |   72.2 |   39.7 |   129.4 | -15020581 |   21.4 |    32.4
   21 | 2026-03-07 15:17:58 |   c1 |   51.2 |   61.0 |   286.8 |  3317758 |   47.7 |    64.2
   21 | 2026-03-07 15:17:59 |   c2 |   65.5 |   60.2 |   186.3 |   698453 |   26.9 |    17.8
   21 | 2026-03-07 15:18:00 |   c3 |   78.8 |   40.9 |   133.2 |   937051 |   21.3 |    20.6
   22 | 2026-03-07 15:18:02 |   c1 |   57.9 |   70.5 |   336.6 | 11158090 |   48.6 |    99.1
   22 | 2026-03-07 15:18:03 |   c2 |   68.7 |   61.5 |   190.4 |   957389 |   26.8 |    19.2
   22 | 2026-03-07 15:18:05 |   c3 |   72.9 |   41.8 |   136.2 |   715669 |   21.2 |    11.3
   23 | 2026-03-07 15:18:06 |   c1 |   52.8 |   79.7 |   380.6 | 11990185 |   49.2 |    22.4
   23 | 2026-03-07 15:18:07 |   c2 |   81.2 |   62.5 |   193.3 |   750405 |   26.7 |    17.8
   23 | 2026-03-07 15:18:08 |   c3 |   79.9 |   42.6 |   138.8 |   661957 |   21.1 |    16.4
   24 | 2026-03-07 15:18:10 |   c1 |   55.7 |   86.1 |   411.3 |  7683348 |   50.7 |    28.9
   24 | 2026-03-07 15:18:11 |   c2 |   89.9 |   42.8 |   132.3 | -15913941 |   26.6 |    27.3
   24 | 2026-03-07 15:18:13 |   c3 |   94.3 |   43.8 |   142.5 |   888055 |   21.0 |    13.0
   25 | 2026-03-07 15:18:15 |   c1 |   47.5 |    0.0 |       - | -92803700 |    0.0 |     0.0
   25 | 2026-03-07 15:18:15 |   c2 |   57.9 |   44.1 |   136.3 |  1127842 |   26.5 |    11.3
