
(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
SSH bağlantıları kuruluyor...
  SSH bağlantısı kuruldu: 192.168.56.136
  SSH bağlantısı kuruldu: 192.168.56.137
  SSH bağlantısı kuruldu: 192.168.56.139
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   69 | 2026-03-01 22:15:11 |   c2 |    0.0 |   42.6 |   140.4 |   308380 |    5.7 |    12.0
   69 | 2026-03-01 22:15:12 |   c3 |    3.1 |   66.2 |   208.6 |   522921 |    5.1 |     6.7
   70 | 2026-03-01 22:15:14 |   c1 |   11.3 |   54.8 |   143.8 |   135073 |    5.6 |    14.5
   70 | 2026-03-01 22:15:15 |   c2 |    1.0 |   43.0 |   141.7 |   318998 |    5.6 |     7.3
   70 | 2026-03-01 22:15:16 |   c3 |    0.0 |   66.6 |   209.7 |   264194 |    5.1 |    25.4
   71 | 2026-03-01 22:15:18 |   c1 |    1.1 |   55.3 |   145.2 |   328123 |    5.7 |   141.6
   71 | 2026-03-01 22:15:19 |   c2 |    1.1 |   43.3 |   142.9 |   292300 |    5.5 |    22.9
   71 | 2026-03-01 22:15:20 |   c3 |    1.0 |   67.4 |   212.4 |   667256 |    5.1 |    11.8
   72 | 2026-03-01 22:15:22 |   c1 |    4.2 |   55.8 |   146.6 |   339429 |    5.6 |    14.9
   72 | 2026-03-01 22:15:23 |   c2 |    0.0 |   43.7 |   144.1 |   302518 |    5.5 |    20.4
   72 | 2026-03-01 22:15:24 |   c3 |    2.2 |   27.6 |    89.1 | -31340666 |    5.1 |    25.2
   73 | 2026-03-01 22:15:26 |   c1 |    1.1 |   56.1 |   147.3 |   187004 |    5.6 |    10.4
   73 | 2026-03-01 22:15:27 |   c2 |    2.1 |   43.9 |   144.7 |   165906 |    5.5 |    13.7
   73 | 2026-03-01 22:15:28 |   c3 |    1.1 |   28.1 |    90.7 |   421111 |    5.0 |    36.8
