
(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   69 | 2026-03-02 23:15:16 |   c2 |   70.0 |   66.2 |   382.0 |   953169 |    1.9 |     5.3
   69 | 2026-03-02 23:15:17 |   c3 |   73.3 |   48.8 |   312.7 |        0 |    1.9 |     2.8
   70 | 2026-03-02 23:15:17 |   c1 |   46.9 |    0.0 |       - |        0 |    0.0 |     0.0
   70 | 2026-03-02 23:15:17 |   c2 |   76.5 |   66.2 |   382.0 |        0 |    1.9 |     4.6
   70 | 2026-03-02 23:15:18 |   c3 |   88.5 |   48.8 |   312.7 |        0 |    1.9 |     8.2
   71 | 2026-03-02 23:15:18 |   c1 |   66.4 |   47.2 |   107.0 | 95947609 |  161.0 |    28.1
   71 | 2026-03-02 23:15:19 |   c2 |   93.3 |   66.2 |   382.0 |        0 |    1.9 |     2.8
   71 | 2026-03-02 23:15:19 |   c3 |   87.8 |   48.9 |   313.2 |   370748 |    1.9 |     2.3
   72 | 2026-03-02 23:15:20 |   c1 |   11.2 |   70.6 |   187.5 | 59781559 |  144.0 |    14.2
   72 | 2026-03-02 23:15:20 |   c2 |   36.4 |   66.3 |   382.8 |   631171 |    1.9 |     2.8
   72 | 2026-03-02 23:15:20 |   c3 |   43.9 |   49.0 |   313.8 |   535369 |    1.9 |     3.0
   73 | 2026-03-02 23:15:21 |   c1 |   12.2 |   71.0 |   188.8 |  1266040 |  114.0 |     9.1
   73 | 2026-03-02 23:15:21 |   c2 |   53.6 |   66.3 |   382.8 |        0 |    1.9 |     4.2
   73 | 2026-03-02 23:15:21 |   c3 |   46.8 |   49.1 |   314.3 |   510078 |    1.9 |     2.9
   74 | 2026-03-02 23:15:22 |   c1 |    9.8 |   71.5 |   190.1 |  1288801 |   95.5 |     7.5
   74 | 2026-03-02 23:15:22 |   c2 |   45.5 |   66.4 |   383.2 |   411874 |    1.9 |     3.1
   74 | 2026-03-02 23:15:22 |   c3 |   43.6 |   49.3 |   315.3 |  1065356 |    1.9 |     2.8
   75 | 2026-03-02 23:15:23 |   c1 |    9.8 |   71.7 |   190.6 |   470850 |   81.9 |    12.0
   75 | 2026-03-02 23:15:23 |   c2 |   46.5 |   66.4 |   383.2 |        0 |    1.9 |     3.7
   75 | 2026-03-02 23:15:23 |   c3 |   40.9 |   49.3 |   315.9 |   540458 |    1.9 |     2.8
   76 | 2026-03-02 23:15:24 |   c1 |    9.7 |   71.8 |   190.9 |   354399 |   72.0 |    10.3
   76 | 2026-03-02 23:15:24 |   c2 |   40.9 |   66.4 |   383.2 |        0 |    1.9 |     3.4
   76 | 2026-03-02 23:15:24 |   c3 |   41.5 |   49.3 |   315.9 |        0 |    1.9 |     3.0
   77 | 2026-03-02 23:15:25 |   c1 |   10.2 |   71.9 |   191.2 |   288723 |   64.6 |     9.3
